ficheiro,categorias,post,data,largura,altura,legenda
20260710_DanyepXDdTS_01.jpg,Velas,https://www.instagram.com/p/DanyepXDdTS/,2026-07-10,3098,3872,"🪄 velas afasta-mosquitos
cá por casa trocamos os sprays repletos de químicos (tão tóxicos para os insetos como para nós) por estas velas de citronela simples e eficazes!

- mistura de 3 óleos essenciais: óleo de citronela, óleo de lavanda e óleo de eucalipto.

- a citronela é conhecida pelo seu aroma que afasta melgas, moscas e outros mosquitos; a lavanda e o eucalipto criam um contraste entre a energia/tranquilidade e o frio/quente, para um ambiente agradável e sem visitas indesejadas.

- os óleos essenciais podem ser personalizados, caso queiras uma combinação de aromas diferente 🫶🏻

envia mensagem para encomendar!"
20260710_DanyepXDdTS_02.jpg,Velas,https://www.instagram.com/p/DanyepXDdTS/,2026-07-10,3024,3780,"🪄 velas afasta-mosquitos
cá por casa trocamos os sprays repletos de químicos (tão tóxicos para os insetos como para nós) por estas velas de citronela simples e eficazes!

- mistura de 3 óleos essenciais: óleo de citronela, óleo de lavanda e óleo de eucalipto.

- a citronela é conhecida pelo seu aroma que afasta melgas, moscas e outros mosquitos; a lavanda e o eucalipto criam um contraste entre a energia/tranquilidade e o frio/quente, para um ambiente agradável e sem visitas indesejadas.

- os óleos essenciais podem ser personalizados, caso queiras uma combinação de aromas diferente 🫶🏻

envia mensagem para encomendar!"
20260710_DanyepXDdTS_03.jpg,Velas,https://www.instagram.com/p/DanyepXDdTS/,2026-07-10,2550,3187,"🪄 velas afasta-mosquitos
cá por casa trocamos os sprays repletos de químicos (tão tóxicos para os insetos como para nós) por estas velas de citronela simples e eficazes!

- mistura de 3 óleos essenciais: óleo de citronela, óleo de lavanda e óleo de eucalipto.

- a citronela é conhecida pelo seu aroma que afasta melgas, moscas e outros mosquitos; a lavanda e o eucalipto criam um contraste entre a energia/tranquilidade e o frio/quente, para um ambiente agradável e sem visitas indesejadas.

- os óleos essenciais podem ser personalizados, caso queiras uma combinação de aromas diferente 🫶🏻

envia mensagem para encomendar!"
20260710_DanyepXDdTS_04.jpg,Velas,https://www.instagram.com/p/DanyepXDdTS/,2026-07-10,3024,3780,"🪄 velas afasta-mosquitos
cá por casa trocamos os sprays repletos de químicos (tão tóxicos para os insetos como para nós) por estas velas de citronela simples e eficazes!

- mistura de 3 óleos essenciais: óleo de citronela, óleo de lavanda e óleo de eucalipto.

- a citronela é conhecida pelo seu aroma que afasta melgas, moscas e outros mosquitos; a lavanda e o eucalipto criam um contraste entre a energia/tranquilidade e o frio/quente, para um ambiente agradável e sem visitas indesejadas.

- os óleos essenciais podem ser personalizados, caso queiras uma combinação de aromas diferente 🫶🏻

envia mensagem para encomendar!"
20260710_DanyepXDdTS_05.jpg,Velas,https://www.instagram.com/p/DanyepXDdTS/,2026-07-10,2810,3512,"🪄 velas afasta-mosquitos
cá por casa trocamos os sprays repletos de químicos (tão tóxicos para os insetos como para nós) por estas velas de citronela simples e eficazes!

- mistura de 3 óleos essenciais: óleo de citronela, óleo de lavanda e óleo de eucalipto.

- a citronela é conhecida pelo seu aroma que afasta melgas, moscas e outros mosquitos; a lavanda e o eucalipto criam um contraste entre a energia/tranquilidade e o frio/quente, para um ambiente agradável e sem visitas indesejadas.

- os óleos essenciais podem ser personalizados, caso queiras uma combinação de aromas diferente 🫶🏻

envia mensagem para encomendar!"
20260217_DU3n7RKDWF7_01.jpg,Sais de Banho,https://www.instagram.com/p/DU3n7RKDWF7/,2026-02-17,1440,1920,"🌱 sais de banho terapêuticos 🌱
- preparados de forma artesanal, a partir de sal marinho integral (sem tratamento de purificação, limpeza e/ou branqueamento), mantendo todas as propriedades energizantes;
- é adicionado óleo essencial de lavanda para um efeito calmante, e uma mistura de flores secas para intensificar o relaxamento;
- perfeito para um banho de imersão ou para um escalda-pés;
- 5€ (frasco grande) ou 3€ (frasco pequeno)

📩 envia mensagem para encomendar!"
20260217_DU3n7RKDWF7_02.jpg,Sais de Banho,https://www.instagram.com/p/DU3n7RKDWF7/,2026-02-17,1440,1920,"🌱 sais de banho terapêuticos 🌱
- preparados de forma artesanal, a partir de sal marinho integral (sem tratamento de purificação, limpeza e/ou branqueamento), mantendo todas as propriedades energizantes;
- é adicionado óleo essencial de lavanda para um efeito calmante, e uma mistura de flores secas para intensificar o relaxamento;
- perfeito para um banho de imersão ou para um escalda-pés;
- 5€ (frasco grande) ou 3€ (frasco pequeno)

📩 envia mensagem para encomendar!"
20260217_DU3n7RKDWF7_03.jpg,Sais de Banho,https://www.instagram.com/p/DU3n7RKDWF7/,2026-02-17,1440,1920,"🌱 sais de banho terapêuticos 🌱
- preparados de forma artesanal, a partir de sal marinho integral (sem tratamento de purificação, limpeza e/ou branqueamento), mantendo todas as propriedades energizantes;
- é adicionado óleo essencial de lavanda para um efeito calmante, e uma mistura de flores secas para intensificar o relaxamento;
- perfeito para um banho de imersão ou para um escalda-pés;
- 5€ (frasco grande) ou 3€ (frasco pequeno)

📩 envia mensagem para encomendar!"
20260216_DU1EXX5je_Y_01.jpg,Velas | Roll-on | Sais de Banho | Outros,https://www.instagram.com/p/DU1EXX5je_Y/,2026-02-16,1440,1920,"💮 kit ""eu cuido de mim"" 💮
mais um conjunto escolhido pela P. para mimar uma amiga:
• uma vela ambiente com óleo essencial de ylang-ylang 
• um frasco de sais de banho com flores secas e óleo essencial de lavanda 
• um roll-on terapêutico para relaxamento 
• um conjunto de 2 ambientadores/wax melts
juntámos tudo numa caixinha artesanal de oferta e escrevemos um pequeno cartão.

mais uma vez, ficamos muito gratas pela confiança e pela escolha 💮

também gostaste? envia-nos uma mensagem privada para encomendar!

#naturalroutine #relaxtime #essentialoils #wellbeing"
20260216_DU1EXX5je_Y_02.jpg,Velas | Roll-on | Sais de Banho | Outros,https://www.instagram.com/p/DU1EXX5je_Y/,2026-02-16,1440,1920,"💮 kit ""eu cuido de mim"" 💮
mais um conjunto escolhido pela P. para mimar uma amiga:
• uma vela ambiente com óleo essencial de ylang-ylang 
• um frasco de sais de banho com flores secas e óleo essencial de lavanda 
• um roll-on terapêutico para relaxamento 
• um conjunto de 2 ambientadores/wax melts
juntámos tudo numa caixinha artesanal de oferta e escrevemos um pequeno cartão.

mais uma vez, ficamos muito gratas pela confiança e pela escolha 💮

também gostaste? envia-nos uma mensagem privada para encomendar!

#naturalroutine #relaxtime #essentialoils #wellbeing"
